api,inboundDependencyCount,inboundDependents,outboundDependencyCount,outboundDependencies
Service-49,4,"[Service-14489, Service-16882, Service-2681, Service-12191]",2,"[Service-3287, Service-18563]"
Service-50,1,"[Service-18972]",4,"[Service-19901, Service-4122, Service-1522, Service-10837]"
Service-51,2,"[Service-5922, Service-2395]",1,"[Service-18939]"
Service-52,1,"[Service-5371]",4,"[Service-16978, Service-725, Service-2173, Service-1177]"
Service-53,3,"[Service-6655, Service-15355, Service-5556]",3,"[Service-19275, Service-7322, Service-500]"
Service-54,3,"[Service-17147, Service-14096, Service-4718]",3,"[Service-15422, Service-14683, Service-6184]"
Service-55,3,"[Service-13, Service-19629, Service-7015]",4,"[Service-16062, Service-19204, Service-2976, Service-19596]"
Service-56,4,"[Service-16953, Service-5025, Service-18361, Service-10960]",1,"[Service-12953]"
Service-57,2,"[Service-766, Service-16563]",0,[]
Service-58,0,[],1,"[Service-19963]"
Service-59,3,"[Service-213, Service-16655, Service-10218]",0,[]
Service-60,1,"[Service-1903]",0,[]
Service-61,1,"[Service-10268]",2,"[Service-18771, Service-15862]"
Service-62,2,"[Service-15899, Service-747]",2,"[Service-1776, Service-5312]"
Service-63,0,[],2,"[Service-21, Service-7653]"
Service-64,4,"[Service-1323, Service-5234, Service-14077, Service-6362]",4,"[Service-3524, Service-9604, Service-13141, Service-6579]"
Service-65,1,"[Service-17254]",2,"[Service-16017, Service-5883]"
Service-66,0,[],1,"[Service-5260]"
Service-67,4,"[Service-3385, Service-4240, Service-4691, Service-15151]",1,"[Service-10308]"
Service-68,3,"[Service-8236, Service-12107, Service-13822]",0,[]
Service-69,3,"[Service-13111, Service-18320, Service-11573]",1,"[Service-6010]"
Service-70,4,"[Service-15003, Service-3362, Service-13464, Service-6162]",4,"[Service-19831, Service-8198, Service-8592, Service-1161]"
Service-71,2,"[Service-5329, Service-3829]",2,"[Service-2330, Service-13295]"
Service-72,3,"[Service-17413, Service-15602, Service-13160]",4,"[Service-5284, Service-16164, Service-19666, Service-9564]"
Service-73,4,"[Service-11065, Service-16857, Service-4940, Service-19531]",2,"[Service-16097, Service-19304]"
Service-74,1,"[Service-16367]",1,"[Service-3904]"
Service-75,1,"[Service-1382]",0,[]
Service-76,3,"[Service-1830, Service-7345, Service-2398]",2,"[Service-11125, Service-4451]"
Service-77,4,"[Service-14399, Service-15861, Service-10549, Service-9632]",1,"[Service-15801]"
Service-78,0,[],2,"[Service-14905, Service-3319]"
Service-79,1,"[Service-3307]",1,"[Service-3682]"
Service-80,2,"[Service-1175, Service-9946]",1,"[Service-17535]"
Service-81,2,"[Service-13754, Service-4698]",0,[]
Service-82,0,[],3,"[Service-16819, Service-17437, Service-12823]"
Service-83,4,"[Service-13071, Service-9170, Service-4724, Service-17820]",1,"[Service-18100]"
Service-84,0,[],0,[]
Service-85,2,"[Service-15774, Service-7038]",2,"[Service-10118, Service-19168]"
Service-86,3,"[Service-1737, Service-1629, Service-16804]",1,"[Service-16437]"
Service-87,4,"[Service-13449, Service-9140, Service-1078, Service-18895]",2,"[Service-4621, Service-12267]"
Service-88,1,"[Service-17896]",4,"[Service-14534, Service-894, Service-5938, Service-19173]"
Service-89,0,[],0,[]
Service-90,2,"[Service-18195, Service-6813]",0,[]
Service-91,1,"[Service-10644]",0,[]
Service-92,1,"[Service-19906]",0,[]
Service-93,4,"[Service-17829, Service-8803, Service-13942, Service-14594]",3,"[Service-6448, Service-17657, Service-14913]"
Service-94,3,"[Service-19529, Service-13178, Service-3621]",0,[]
Service-95,0,[],1,"[Service-8172]"
Service-96,4,"[Service-180, Service-10930, Service-16936, Service-7906]",4,"[Service-6485, Service-11109, Service-6629, Service-18528]"
Service-97,1,"[Service-6605]",0,[]
Service-98,4,"[Service-16772, Service-11751, Service-16936, Service-1183]",0,[]
Service-99,1,"[Service-12139]",1,"[Service-8296]"
Service-100,3,"[Service-13042, Service-197, Service-16318]",3,"[Service-18349, Service-17028, Service-18443]"
Service-101,1,"[Service-15211]",4,"[Service-19208, Service-1867, Service-1858, Service-16505]"
Service-102,0,[],4,"[Service-5866, Service-4793, Service-1114, Service-8339]"
Service-103,3,"[Service-3684, Service-16899, Service-16051]",3,"[Service-2112, Service-11184, Service-1983]"
Service-104,3,"[Service-13951, Service-19656, Service-6928]",2,"[Service-17057, Service-12826]"
Service-105,2,"[Service-17962, Service-6824]",2,"[Service-15485, Service-15171]"
Service-106,0,[],4,"[Service-16945, Service-10067, Service-6620, Service-2940]"
Service-107,0,[],3,"[Service-264, Service-3210, Service-3877]"
Service-108,1,"[Service-9960]",4,"[Service-17885, Service-11890, Service-14336, Service-6656]"
Service-109,4,"[Service-12535, Service-9748, Service-17084, Service-15232]",2,"[Service-11609, Service-10309]"
Service-110,2,"[Service-13196, Service-453]",0,[]
Service-111,3,"[Service-16046, Service-12716, Service-19737]",3,"[Service-4998, Service-12279, Service-27]"
Service-112,0,[],2,"[Service-4695, Service-14913]"
Service-113,4,"[Service-11527, Service-7388, Service-10877, Service-12746]",4,"[Service-16042, Service-16436, Service-14608, Service-12905]"
Service-114,2,"[Service-3618, Service-7244]",0,[]
Service-115,0,[],0,[]
Service-116,1,"[Service-8362]",3,"[Service-6244, Service-11197, Service-25]"
Service-117,2,"[Service-6797, Service-18967]",1,"[Service-11948]"
Service-118,0,[],3,"[Service-5363, Service-444, Service-19967]"
Service-119,2,"[Service-19852, Service-9034]",3,"[Service-265, Service-14618, Service-9569]"
Service-120,1,"[Service-10707]",1,"[Service-10143]"
Service-121,1,"[Service-14551]",1,"[Service-10799]"
Service-122,0,[],2,"[Service-14873, Service-12731]"
Service-123,0,[],2,"[Service-17379, Service-8776]"
Service-124,3,"[Service-4408, Service-4731, Service-3966]",2,"[Service-13732, Service-15180]"
Service-125,0,[],1,"[Service-3251]"
Service-126,2,"[Service-16546, Service-14352]",0,[]
Service-127,2,"[Service-17873, Service-10085]",2,"[Service-8605, Service-1980]"
Service-128,1,"[Service-9953]",4,"[Service-14964, Service-5633, Service-19142, Service-2065]"
Service-129,2,"[Service-12629, Service-19161]",2,"[Service-4509, Service-12886]"
Service-130,1,"[Service-10493]",3,"[Service-19853, Service-2033, Service-8669]"
Service-131,0,[],1,"[Service-13080]"
Service-132,0,[],1,"[Service-10315]"
Service-133,1,"[Service-2432]",4,"[Service-3630, Service-9709, Service-8375, Service-7694]"
Service-134,0,[],2,"[Service-7406, Service-5333]"
Service-135,3,"[Service-16112, Service-6422, Service-767]",0,[]
Service-136,2,"[Service-17788, Service-18832]",1,"[Service-11416]"
Service-137,4,"[Service-2151, Service-4248, Service-7274, Service-2160]",3,"[Service-17504, Service-19112, Service-4028]"
Service-138,0,[],1,"[Service-1903]"
Service-139,1,"[Service-7919]",0,[]
Service-140,4,"[Service-1009, Service-15883, Service-8307, Service-14037]",1,"[Service-18510]"
Service-141,3,"[Service-17665, Service-10110, Service-14613]",2,"[Service-12220, Service-8766]"
Service-142,2,"[Service-16575, Service-3211]",0,[]
Service-143,3,"[Service-6250, Service-5255, Service-3871]",3,"[Service-12061, Service-11713, Service-7276]"
Service-144,2,"[Service-14139, Service-12733]",2,"[Service-14356, Service-11511]"
Service-145,2,"[Service-1407, Service-19712]",2,"[Service-11233, Service-38]"
Service-146,4,"[Service-6777, Service-18485, Service-13137, Service-12632]",0,[]
Service-147,2,"[Service-8921, Service-3345]",4,"[Service-11301, Service-6419, Service-2411, Service-8522]"
Service-148,2,"[Service-11113, Service-6996]",2,"[Service-1253, Service-11846]"
Service-149,0,[],0,[]
Service-150,4,"[Service-9299, Service-8830, Service-2718, Service-3701]",3,"[Service-11734, Service-8152, Service-15855]"
Service-151,0,[],0,[]
Service-152,2,"[Service-11061, Service-9209]",2,"[Service-9469, Service-19770]"
Service-153,4,"[Service-19849, Service-5609, Service-6208, Service-5260]",1,"[Service-5028]"
Service-154,4,"[Service-9945, Service-868, Service-1234, Service-7857]",4,"[Service-17266, Service-13415, Service-12319, Service-7562]"
Service-155,4,"[Service-13049, Service-10927, Service-5879, Service-10554]",3,"[Service-19689, Service-7468, Service-15410]"
Service-156,4,"[Service-1663, Service-6743, Service-13363, Service-15276]",3,"[Service-16069, Service-7610, Service-3409]"
Service-157,2,"[Service-8152, Service-16002]",0,[]
Service-158,2,"[Service-17105, Service-1717]",4,"[Service-7568, Service-4042, Service-19267, Service-15003]"
Service-159,4,"[Service-7232, Service-11407, Service-19251, Service-12418]",3,"[Service-4168, Service-13195, Service-17266]"
Service-160,0,[],1,"[Service-12208]"
Service-161,0,[],1,"[Service-4372]"
Service-162,0,[],4,"[Service-5750, Service-6413, Service-3360, Service-15646]"
Service-163,3,"[Service-1269, Service-17432, Service-6185]",0,[]
Service-164,4,"[Service-5095, Service-370, Service-14050, Service-9916]",3,"[Service-1750, Service-10268, Service-6900]"
Service-165,2,"[Service-6326, Service-16444]",4,"[Service-6449, Service-6196, Service-18624, Service-7515]"
Service-166,1,"[Service-3519]",0,[]
Service-167,0,[],0,[]
Service-168,0,[],3,"[Service-10432, Service-6588, Service-17226]"
Service-169,4,"[Service-3629, Service-10696, Service-7949, Service-15923]",0,[]
Service-170,3,"[Service-5738, Service-18403, Service-16018]",0,[]
Service-171,1,"[Service-15621]",2,"[Service-9237, Service-9992]"
Service-172,4,"[Service-10127, Service-6917, Service-4441, Service-18710]",2,"[Service-7477, Service-16159]"
Service-173,0,[],0,[]
Service-174,3,"[Service-7002, Service-10045, Service-18967]",2,"[Service-18321, Service-847]"
Service-175,0,[],1,"[Service-13574]"
Service-176,2,"[Service-10874, Service-10416]",3,"[Service-18390, Service-13602, Service-17112]"
Service-177,2,"[Service-3517, Service-17746]",2,"[Service-11636, Service-11029]"
Service-178,4,"[Service-17551, Service-2132, Service-10014, Service-4949]",3,"[Service-865, Service-12958, Service-8553]"
Service-179,1,"[Service-19555]",0,[]
Service-180,2,"[Service-6205, Service-19612]",1,"[Service-16809]"
Service-181,1,"[Service-18157]",0,[]
Service-182,1,"[Service-1974]",4,"[Service-16747, Service-2440, Service-8764, Service-2516]"
Service-183,1,"[Service-14689]",0,[]
Service-184,4,"[Service-11743, Service-8569, Service-15697, Service-5663]",3,"[Service-831, Service-9652, Service-9618]"
Service-185,2,"[Service-14034, Service-5154]",2,"[Service-13984, Service-14763]"
Service-186,1,"[Service-7506]",4,"[Service-16876, Service-14536, Service-901, Service-3146]"
Service-187,2,"[Service-12012, Service-843]",2,"[Service-13042, Service-3588]"
Service-188,1,"[Service-19394]",0,[]
Service-189,0,[],4,"[Service-13464, Service-6527, Service-11309, Service-11698]"
Service-190,3,"[Service-19071, Service-1778, Service-2675]",4,"[Service-12031, Service-16595, Service-1274, Service-9652]"
Service-191,2,"[Service-7178, Service-11915]",3,"[Service-2591, Service-4764, Service-13226]"
Service-192,2,"[Service-4302, Service-12943]",3,"[Service-10433, Service-12516, Service-18242]"
Service-193,0,[],1,"[Service-12340]"
Service-194,2,"[Service-17438, Service-19642]",1,"[Service-18371]"
Service-195,3,"[Service-18960, Service-12616, Service-16262]",0,[]
Service-196,0,[],4,"[Service-17087, Service-9560, Service-13383, Service-6306]"
Service-197,4,"[Service-10454, Service-12533, Service-11335, Service-13686]",2,"[Service-2392, Service-6976]"
Service-198,4,"[Service-10692, Service-8868, Service-6073, Service-3755]",4,"[Service-16298, Service-3706, Service-15647, Service-19262]"
Service-199,4,"[Service-8197, Service-433, Service-2010, Service-10840]",4,"[Service-6583, Service-9585, Service-6272, Service-3099]"
Service-200,2,"[Service-14868, Service-5157]",0,[]
Service-201,4,"[Service-13647, Service-15580, Service-477, Service-10993]",2,"[Service-3727, Service-164]"
Service-202,4,"[Service-15722, Service-18902, Service-4950, Service-19517]",2,"[Service-11155, Service-10700]"
Service-203,3,"[Service-15664, Service-5585, Service-371]",3,"[Service-4261, Service-19082, Service-5681]"
Service-204,4,"[Service-5349, Service-14420, Service-6721, Service-18063]",2,"[Service-11011, Service-15882]"
Service-205,2,"[Service-458, Service-12813]",0,[]
Service-206,3,"[Service-6564, Service-6529, Service-8755]",3,"[Service-16970, Service-284, Service-3156]"
Service-207,1,"[Service-9522]",1,"[Service-17207]"
Service-208,1,"[Service-2138]",0,[]
Service-209,1,"[Service-402]",4,"[Service-15705, Service-17520, Service-8023, Service-17179]"
Service-210,1,"[Service-15608]",4,"[Service-720, Service-11524, Service-12715, Service-19476]"
Service-211,1,"[Service-17768]",0,[]
Service-212,4,"[Service-9727, Service-10634, Service-19559, Service-2380]",3,"[Service-7213, Service-13473, Service-3906]"
Service-213,0,[],2,"[Service-4200, Service-19622]"
Service-214,1,"[Service-15747]",1,"[Service-11902]"
Service-215,3,"[Service-10523, Service-4603, Service-1240]",3,"[Service-4211, Service-12609, Service-4068]"
Service-216,1,"[Service-2808]",4,"[Service-8600, Service-16652, Service-2148, Service-9851]"
Service-217,3,"[Service-14155, Service-8341, Service-1597]",0,[]
Service-218,2,"[Service-6261, Service-17121]",1,"[Service-14364]"
Service-219,3,"[Service-315, Service-3257, Service-17927]",3,"[Service-1814, Service-2771, Service-10045]"
Service-220,4,"[Service-1820, Service-6648, Service-18406, Service-10047]",4,"[Service-2616, Service-4660, Service-5685, Service-6682]"
Service-221,2,"[Service-16059, Service-4780]",0,[]
Service-222,0,[],2,"[Service-15164, Service-13652]"
Service-223,3,"[Service-6319, Service-14782, Service-5239]",1,"[Service-18209]"
Service-224,2,"[Service-3351, Service-2177]",2,"[Service-12773, Service-12657]"
Service-225,1,"[Service-6081]",2,"[Service-6240, Service-10109]"
Service-226,2,"[Service-11691, Service-11975]",0,[]
Service-227,0,[],1,"[Service-5720]"
Service-228,2,"[Service-2533, Service-983]",3,"[Service-16085, Service-8529, Service-8799]"
Service-229,1,"[Service-239]",4,"[Service-4887, Service-14154, Service-4125, Service-214]"
Service-230,1,"[Service-19302]",4,"[Service-1733, Service-9222, Service-18952, Service-13137]"
Service-231,4,"[Service-13939, Service-7130, Service-18042, Service-8735]",1,"[Service-427]"
Service-232,4,"[Service-18011, Service-14917, Service-7961, Service-5835]",3,"[Service-17602, Service-13056, Service-6917]"
Service-233,3,"[Service-15726, Service-8482, Service-17607]",2,"[Service-6387, Service-5370]"
Service-234,3,"[Service-11536, Service-6140, Service-12546]",3,"[Service-3317, Service-4767, Service-19479]"
Service-235,3,"[Service-8112, Service-9030, Service-2617]",3,"[Service-11038, Service-2528, Service-4383]"
Service-236,2,"[Service-18738, Service-1016]",2,"[Service-1320, Service-432]"
Service-237,1,"[Service-11222]",1,"[Service-9700]"
Service-238,1,"[Service-8852]",3,"[Service-10971, Service-13034, Service-4662]"
Service-239,1,"[Service-13462]",1,"[Service-17651]"
Service-240,2,"[Service-10604, Service-17349]",1,"[Service-13979]"
Service-241,4,"[Service-8486, Service-11565, Service-10408, Service-3495]",4,"[Service-1413, Service-18615, Service-2929, Service-2148]"
Service-242,2,"[Service-984, Service-7238]",3,"[Service-6962, Service-3010, Service-1471]"
Service-243,1,"[Service-399]",1,"[Service-7833]"
Service-244,2,"[Service-4550, Service-7793]",3,"[Service-11054, Service-13821, Service-10923]"
Service-245,3,"[Service-3580, Service-8918, Service-5487]",0,[]
Service-246,1,"[Service-1810]",3,"[Service-2196, Service-1289, Service-7938]"
Service-247,3,"[Service-8086, Service-16747, Service-14755]",4,"[Service-11363, Service-16298, Service-13516, Service-652]"
Service-248,3,"[Service-840, Service-3609, Service-8697]",2,"[Service-4843, Service-5163]"
Service-249,4,"[Service-8948, Service-2393, Service-14527, Service-4040]",4,"[Service-14961, Service-1082, Service-13170, Service-5771]"
Service-250,0,[],0,[]
Service-251,2,"[Service-3580, Service-4059]",3,"[Service-19405, Service-9043, Service-1839]"
Service-252,2,"[Service-15902, Service-17461]",1,"[Service-9651]"
Service-253,4,"[Service-5661, Service-19956, Service-10250, Service-17705]",2,"[Service-1328, Service-356]"
Service-254,2,"[Service-6467, Service-8320]",4,"[Service-7570, Service-7449, Service-337, Service-3222]"
Service-255,0,[],2,"[Service-11195, Service-1989]"
Service-256,4,"[Service-16716, Service-6071, Service-11011, Service-8711]",4,"[Service-2439, Service-3107, Service-18966, Service-5279]"
Service-257,0,[],0,[]
Service-258,1,"[Service-11057]",4,"[Service-887, Service-3176, Service-5406, Service-2123]"
Service-259,1,"[Service-12713]",1,"[Service-17625]"
Service-260,3,"[Service-7444, Service-18736, Service-5559]",0,[]
Service-261,2,"[Service-13809, Service-10128]",3,"[Service-10537, Service-3443, Service-17740]"
Service-262,4,"[Service-9021, Service-8533, Service-19954, Service-8986]",2,"[Service-17481, Service-12690]"
Service-263,1,"[Service-12323]",2,"[Service-7977, Service-13692]"
Service-264,1,"[Service-18902]",0,[]
Service-265,0,[],2,"[Service-14732, Service-14773]"
Service-266,0,[],0,[]
Service-267,4,"[Service-8585, Service-17503, Service-3722, Service-12969]",0,[]
Service-268,3,"[Service-13477, Service-17956, Service-13383]",2,"[Service-3025, Service-14]"
Service-269,4,"[Service-7684, Service-19373, Service-1783, Service-4078]",0,[]
Service-270,1,"[Service-5467]",3,"[Service-2188, Service-11534, Service-1006]"
Service-271,1,"[Service-16942]",2,"[Service-12733, Service-15456]"
Service-272,1,"[Service-6533]",0,[]
Service-273,2,"[Service-4763, Service-5180]",1,"[Service-4936]"
Service-274,1,"[Service-11817]",0,[]
Service-275,1,"[Service-9690]",2,"[Service-8769, Service-7349]"
Service-276,2,"[Service-10195, Service-4186]",3,"[Service-9184, Service-16058, Service-7781]"
Service-277,4,"[Service-16082, Service-17441, Service-15295, Service-8356]",4,"[Service-13857, Service-4851, Service-14323, Service-19900]"
Service-278,0,[],0,[]
Service-279,4,"[Service-16332, Service-12756, Service-15669, Service-7433]",0,[]
Service-280,1,"[Service-11238]",2,"[Service-10761, Service-7950]"
Service-281,4,"[Service-5398, Service-3587, Service-19588, Service-12628]",0,[]
Service-282,3,"[Service-11946, Service-4685, Service-19503]",0,[]
Service-283,0,[],3,"[Service-19332, Service-19080, Service-16397]"
Service-284,4,"[Service-17272, Service-8159, Service-11934, Service-12931]",4,"[Service-14253, Service-13093, Service-9969, Service-2523]"
Service-285,3,"[Service-18119, Service-8267, Service-9010]",3,"[Service-13246, Service-10743, Service-14728]"
Service-286,4,"[Service-17913, Service-13461, Service-16898, Service-5207]",0,[]
Service-287,0,[],4,"[Service-12407, Service-4598, Service-13921, Service-11009]"
Service-288,0,[],4,"[Service-2213, Service-5646, Service-16458, Service-14287]"
Service-289,3,"[Service-16751, Service-9397, Service-11706]",3,"[Service-7326, Service-1547, Service-9747]"
Service-290,2,"[Service-488, Service-5619]",0,[]
Service-291,2,"[Service-13320, Service-1683]",1,"[Service-3584]"
Service-292,4,"[Service-17918, Service-3816, Service-4897, Service-1259]",1,"[Service-13140]"
Service-293,4,"[Service-12814, Service-15758, Service-13256, Service-154]",3,"[Service-6132, Service-1378, Service-3779]"
Service-294,0,[],2,"[Service-5027, Service-10899]"
Service-295,0,[],2,"[Service-16222, Service-3646]"
Service-296,4,"[Service-8191, Service-17025, Service-10765, Service-12843]",4,"[Service-1947, Service-15054, Service-497, Service-701]"
Service-297,3,"[Service-16079, Service-17591, Service-8104]",2,"[Service-17599, Service-6339]"
Service-298,2,"[Service-14312, Service-9027]",3,"[Service-5970, Service-4882, Service-539]"
Service-299,1,"[Service-13179]",1,"[Service-15165]"
Service-300,3,"[Service-17253, Service-4671, Service-1932]",1,"[Service-5653]"
Service-301,1,"[Service-4623]",2,"[Service-11288, Service-8894]"
Service-302,1,"[Service-10371]",4,"[Service-5591, Service-9045, Service-15153, Service-13992]"
Service-303,4,"[Service-17972, Service-14175, Service-7666, Service-2764]",4,"[Service-4722, Service-10224, Service-12483, Service-16617]"
Service-304,2,"[Service-11180, Service-7980]",4,"[Service-11304, Service-11306, Service-11280, Service-9219]"
Service-305,2,"[Service-14019, Service-5247]",2,"[Service-1865, Service-5940]"
Service-306,3,"[Service-16302, Service-14516, Service-13443]",3,"[Service-15070, Service-17960, Service-17907]"
Service-307,1,"[Service-13764]",2,"[Service-9484, Service-9438]"
Service-308,3,"[Service-11689, Service-14892, Service-17336]",0,[]
Service-309,3,"[Service-11782, Service-7501, Service-4736]",2,"[Service-15121, Service-11433]"
Service-310,2,"[Service-7127, Service-4861]",4,"[Service-16070, Service-2143, Service-7522, Service-1981]"
Service-311,3,"[Service-7553, Service-15820, Service-9889]",3,"[Service-19864, Service-8437, Service-252]"
Service-312,2,"[Service-9751, Service-18423]",4,"[Service-13365, Service-13896, Service-17756, Service-2591]"
Service-313,1,"[Service-3934]",3,"[Service-19763, Service-9917, Service-9460]"
Service-314,0,[],0,[]
Service-315,1,"[Service-9263]",4,"[Service-3187, Service-4511, Service-677, Service-19739]"
Service-316,4,"[Service-15342, Service-11488, Service-8234, Service-1041]",0,[]
Service-317,3,"[Service-17457, Service-13887, Service-19603]",1,"[Service-10859]"
Service-318,0,[],4,"[Service-17169, Service-2890, Service-6584, Service-10706]"
Service-319,0,[],2,"[Service-11451, Service-15236]"
Service-320,0,[],0,[]
Service-321,1,"[Service-17396]",0,[]
Service-322,0,[],4,"[Service-8794, Service-12467, Service-5021, Service-18015]"
Service-323,1,"[Service-6525]",1,"[Service-11513]"
Service-324,3,"[Service-5644, Service-11126, Service-17477]",4,"[Service-3166, Service-5936, Service-3438, Service-4034]"
Service-325,2,"[Service-3239, Service-8336]",3,"[Service-8916, Service-5517, Service-18745]"
Service-326,2,"[Service-11112, Service-18799]",0,[]
Service-327,2,"[Service-3734, Service-16489]",4,"[Service-9194, Service-15922, Service-922, Service-11717]"
Service-328,1,"[Service-13269]",1,"[Service-5942]"
Service-329,4,"[Service-12797, Service-1012, Service-12381, Service-8614]",2,"[Service-4118, Service-1326]"
Service-330,3,"[Service-13464, Service-10871, Service-18178]",2,"[Service-944, Service-15965]"
Service-331,2,"[Service-16608, Service-17386]",1,"[Service-11882]"
Service-332,3,"[Service-8021, Service-3703, Service-10994]",3,"[Service-19540, Service-13289, Service-5194]"
Service-333,0,[],4,"[Service-15368, Service-18543, Service-14822, Service-8146]"
Service-334,0,[],1,"[Service-17371]"
Service-335,3,"[Service-10808, Service-15403, Service-13011]",1,"[Service-2642]"
Service-336,0,[],3,"[Service-16337, Service-16044, Service-15528]"
Service-337,1,"[Service-12759]",3,"[Service-10286, Service-16537, Service-10569]"
Service-338,1,"[Service-9039]",0,[]
Service-339,1,"[Service-5297]",0,[]
Service-340,4,"[Service-6422, Service-16924, Service-14285, Service-13712]",0,[]
Service-341,1,"[Service-12952]",0,[]
Service-342,3,"[Service-9428, Service-14404, Service-338]",4,"[Service-2045, Service-11348, Service-3934, Service-199]"
Service-343,4,"[Service-3887, Service-10693, Service-14570, Service-4874]",0,[]
Service-344,4,"[Service-3380, Service-7995, Service-9854, Service-19580]",1,"[Service-7382]"
Service-345,0,[],3,"[Service-19101, Service-3200, Service-18944]"
Service-346,0,[],0,[]
Service-347,2,"[Service-10384, Service-11919]",2,"[Service-19629, Service-6085]"
Service-348,1,"[Service-814]",4,"[Service-8733, Service-3174, Service-8789, Service-7974]"
Service-349,4,"[Service-54, Service-8068, Service-4283, Service-8095]",3,"[Service-17087, Service-12787, Service-11668]"
Service-350,1,"[Service-10525]",4,"[Service-18753, Service-15999, Service-3002, Service-16901]"
Service-351,1,"[Service-16367]",4,"[Service-15726, Service-19854, Service-8074, Service-3681]"
Service-352,4,"[Service-5581, Service-2867, Service-15766, Service-7963]",0,[]
Service-353,4,"[Service-10427, Service-19397, Service-15810, Service-10102]",2,"[Service-15823, Service-5142]"
Service-354,1,"[Service-19218]",4,"[Service-14875, Service-9059, Service-4056, Service-5810]"
Service-355,2,"[Service-8339, Service-965]",1,"[Service-3029]"
Service-356,4,"[Service-549, Service-14532, Service-15548, Service-6205]",2,"[Service-1069, Service-942]"
Service-357,4,"[Service-14170, Service-6166, Service-12184, Service-1959]",1,"[Service-3016]"
Service-358,2,"[Service-17799, Service-16909]",4,"[Service-13209, Service-80, Service-19362, Service-17062]"
Service-359,1,"[Service-19695]",1,"[Service-15791]"
Service-360,1,"[Service-3483]",3,"[Service-11061, Service-14326, Service-1115]"
Service-361,2,"[Service-14087, Service-19341]",3,"[Service-17864, Service-19381, Service-6344]"
